k,execution_time,expected_utility,protected_expected_utility,coverage,protected_coverage
3,156.31664371490479,55467.50075412479,4117.823788882787,0.8311105276975584,0.8069204152249135
4,136.7407009601593,55467.50075412479,4117.823788882787,0.8311105276975584,0.8069204152249135
5,137.7682831287384,55467.50075412479,4117.823788882787,0.8311105276975584,0.8069204152249135
6,139.4662630558014,56899.97667654512,4233.220943667975,0.8879233394591757,0.8695501730103806
7,143.08411693572998,56899.97667654512,4233.220943667975,0.8879233394591757,0.8695501730103806
